                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                0.66311,                0.59796,                0.66388,                 1.0908,                0.76333,                0.20968,                0.19014,                0.15452,                0.76333,                0.20968,                0.19014,                0.16085,                    nan,                 1.0333,                    nan,                    nan,              0.0017723,              0.0017723,              0.0017723
                     26,                0.71949,                0.70945,                0.72653,                  1.154,                0.91089,                0.20968,                0.19614,                0.15985,                0.91089,                0.20968,                0.19614,                0.16916,                    nan,                 0.8881,                    nan,                    nan,              0.0017624,              0.0017624,              0.0017624
                     27,                0.64507,                0.56404,                0.65243,                 1.0737,                 0.8533,                0.20968,                0.19519,                0.16833,                 0.8533,                0.20968,                0.19519,                0.17454,                    nan,                0.87846,                    nan,                    nan,              0.0017525,              0.0017525,              0.0017525
                     28,                0.62023,                0.52457,                0.64036,                  1.056,                0.90149,                0.20968,                0.19422,                0.15826,                0.90149,                0.20968,                0.19422,                0.16776,                    nan,                0.70577,                    nan,                    nan,              0.0017426,              0.0017426,              0.0017426
                     29,                0.65255,                0.58788,                0.63546,                 1.0947,                0.91381,                0.20968,                0.19308,                0.16587,                0.91381,                0.20968,                0.19308,                0.16438,                    nan,                0.89882,                    nan,                    nan,              0.0017327,              0.0017327,              0.0017327
                     30,                0.62363,                0.57979,                0.62455,                 1.0496,                0.92272,                0.20968,                0.19493,                0.16611,                0.92272,                0.20968,                0.19493,                0.17673,                    nan,                0.75809,                    nan,                    nan,              0.0017228,              0.0017228,              0.0017228
                     31,                0.60091,                0.55687,                0.62671,                 1.0326,                0.86006,                0.20968,                0.20021,                0.17702,                0.86006,                0.20968,                0.20021,                0.18767,                    nan,                0.63139,                    nan,                    nan,              0.0017129,              0.0017129,              0.0017129
                     32,                0.62455,                0.51166,                0.62522,                 1.0639,                0.90694,                0.20968,                0.19342,                0.14911,                0.90694,                0.20968,                0.19342,                0.16153,                    nan,                0.65332,                    nan,                    nan,               0.001703,               0.001703,               0.001703
                     33,                0.63481,                0.55454,                0.64688,                 1.0745,                0.85764,                0.20968,                0.18833,                0.16144,                0.85764,                0.20968,                0.18833,                0.14055,                    nan,                 1.6111,                    nan,                    nan,              0.0016931,              0.0016931,              0.0016931
                     34,                0.60018,                0.48484,                0.60473,                 1.0548,                0.92052,                0.20968,                0.19303,                0.16908,                0.92052,                0.20968,                0.19303,                0.17675,                    nan,                0.67798,                    nan,                    nan,              0.0016832,              0.0016832,              0.0016832
                     35,                0.59854,                 0.5754,                0.58261,                 1.0317,                0.91843,                0.20968,                0.19322,                0.17082,                0.91843,                0.20968,                0.19322,                0.16546,                    nan,                 0.6687,                    nan,                    nan,              0.0016733,              0.0016733,              0.0016733
