                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     98,                0.42618,                0.37053,                0.40811,                0.96817,                0.92381,                0.20968,                0.19822,                0.19046,                0.92381,                0.20968,                0.19822,                0.19346,                    nan,                0.53601,                    nan,                    nan,              0.0010496,              0.0010496,              0.0010496
                     99,                0.42463,                0.38573,                0.40509,                0.97352,                0.92117,                0.20968,                0.19781,                0.19204,                0.92117,                0.20968,                0.19781,                0.19478,                    nan,                 0.4497,                    nan,                    nan,              0.0010397,              0.0010397,              0.0010397
                    100,                0.44038,                0.39213,                0.39773,                 0.9693,                0.91411,                0.20968,                0.19533,                0.19403,                0.91411,                0.20968,                0.19533,                0.19533,                    nan,                0.45789,                    nan,                    nan,              0.0010298,              0.0010298,              0.0010298
                    101,                 0.3899,                0.34877,                0.40872,                0.95734,                 0.9172,                0.20968,                0.19468,                0.19075,                 0.9172,                0.20968,                0.19468,                0.19468,                    nan,                0.58689,                    nan,                    nan,              0.0010199,              0.0010199,              0.0010199
                    102,                0.40227,                0.38182,                0.39853,                0.96062,                0.92153,                0.20968,                0.19751,                0.18563,                0.92153,                0.20968,                0.19751,                0.19447,                    nan,                0.56201,                    nan,                    nan,                0.00101,                0.00101,                0.00101
                    103,                0.39145,                0.34425,                0.38208,                 0.9501,                 0.9216,                0.20968,                0.20879,                0.19791,                 0.9216,                0.20968,                0.20879,                0.20119,                    nan,                0.52073,                    nan,                    nan,              0.0010001,              0.0010001,              0.0010001
                    104,                0.41004,                  0.335,                0.39793,                0.94093,                0.91991,                0.20968,                0.20872,                0.19901,                0.91991,                0.20968,                0.20872,                0.19994,                    nan,                 0.5434,                    nan,                    nan,              0.0009902,              0.0009902,              0.0009902
                    105,                0.40854,                0.34798,                0.38617,                0.95682,                0.91329,                0.20968,                0.20496,                 0.1962,                0.91329,                0.20968,                0.20496,                0.19861,                    nan,                0.45692,                    nan,                    nan,              0.0009803,              0.0009803,              0.0009803
                    106,                0.41241,                 0.3653,                0.41594,                  0.958,                0.90814,                0.20968,                0.20386,                0.19866,                0.90814,                0.20968,                0.20386,                0.20159,                    nan,                0.54218,                    nan,                    nan,              0.0009704,              0.0009704,              0.0009704
                    107,                0.39205,                0.32233,                 0.3813,                0.95506,                0.91653,                0.20968,                 0.2025,                 0.1989,                0.91653,                0.20968,                 0.2025,                0.20138,                    nan,                0.45528,                    nan,                    nan,              0.0009605,              0.0009605,              0.0009605
                    108,                0.40945,                0.30911,                0.38154,                0.93901,                0.92118,                0.20968,                0.20379,                0.19758,                0.92118,                0.20968,                0.20379,                0.20103,                    nan,                0.53048,                    nan,                    nan,              0.0009506,              0.0009506,              0.0009506
                    109,                0.39732,                0.33671,                0.37721,                0.94589,                0.92056,                0.20968,                0.20448,                0.19664,                0.92056,                0.20968,                0.20448,                0.20172,                    nan,                0.56795,                    nan,                    nan,              0.0009407,              0.0009407,              0.0009407
                    110,                0.42605,                0.34767,                0.36224,                0.95651,                0.92064,                0.20968,                0.20751,                0.20751,                0.92064,                0.20968,                0.20751,                0.20519,                    nan,                0.55928,                    nan,                    nan,              0.0009308,              0.0009308,              0.0009308
                    111,                0.39057,                0.30781,                0.36448,                0.92667,                0.91672,                0.20968,                0.21639,                 0.2109,                0.91672,                0.20968,                0.21639,                0.21447,                    nan,                  0.436,                    nan,                    nan,              0.0009209,              0.0009209,              0.0009209
                    112,                0.39925,                0.32868,                0.38275,                0.95386,                0.92349,                0.20968,                0.21968,                 0.2098,                0.92349,                0.20968,                0.21968,                0.21645,                    nan,                0.46441,                    nan,                    nan,               0.000911,               0.000911,               0.000911
                    113,                0.41428,                0.31214,                0.37571,                 0.9604,                0.92374,                0.20968,                0.21691,                0.20728,                0.92374,                0.20968,                0.21691,                0.21211,                    nan,                0.48348,                    nan,                    nan,              0.0009011,              0.0009011,              0.0009011
                    114,                0.38974,                0.31276,                0.35255,                0.94404,                0.92398,                0.20968,                0.21054,                0.20523,                0.92398,                0.20968,                0.21054,                0.20288,                    nan,                0.49303,                    nan,                    nan,              0.0008912,              0.0008912,              0.0008912
                    115,                0.41582,                0.30298,                0.38612,                0.96979,                 0.9222,                0.20968,                0.20479,                0.20068,                 0.9222,                0.20968,                0.20479,                0.19799,                    nan,                0.49176,                    nan,                    nan,              0.0008813,              0.0008813,              0.0008813
                    116,                0.38992,                0.29695,                0.38502,                0.94422,                0.92067,                0.20968,                0.20486,                0.19932,                0.92067,                0.20968,                0.20486,                0.20024,                    nan,                0.54014,                    nan,                    nan,              0.0008714,              0.0008714,              0.0008714
                    117,                0.39465,                0.35037,                0.36032,                0.96262,                0.92123,                0.20968,                0.20643,                0.20239,                0.92123,                0.20968,                0.20643,                0.19978,                    nan,                0.58193,                    nan,                    nan,              0.0008615,              0.0008615,              0.0008615
                    118,                0.39717,                0.33604,                 0.3658,                0.93249,                0.92008,                0.20968,                0.20378,                0.19822,                0.92008,                0.20968,                0.20378,                0.19632,                    nan,                0.52264,                    nan,                    nan,              0.0008516,              0.0008516,              0.0008516
                    119,                0.40292,                0.31026,                 0.3787,                0.95616,                0.91402,                0.20968,                0.20462,                0.20038,                0.91402,                0.20968,                0.20462,                0.20036,                    nan,                0.49009,                    nan,                    nan,              0.0008417,              0.0008417,              0.0008417
                    120,                0.35124,                0.27932,                 0.3235,                0.92652,                0.91555,                0.20968,                0.20762,                0.20247,                0.91555,                0.20968,                0.20762,                0.20762,                    nan,                0.46872,                    nan,                    nan,              0.0008318,              0.0008318,              0.0008318
                    121,                 0.3654,                0.32193,                0.35442,                0.93064,                0.92074,                0.20968,                0.20411,                0.20204,                0.92074,                0.20968,                0.20411,                0.20411,                    nan,                0.50793,                    nan,                    nan,              0.0008219,              0.0008219,              0.0008219
                    122,                0.37308,                0.32481,                0.34696,                0.93757,                0.86466,                0.20968,                0.20107,                0.19894,                0.86466,                0.20968,                0.20107,                0.20107,                    nan,                0.52619,                    nan,                    nan,               0.000812,               0.000812,               0.000812
                    123,                0.35777,                 0.2779,                 0.3365,                  0.932,                0.80799,                0.20968,                0.19465,                0.18481,                0.80799,                0.20968,                0.19465,                0.19465,                    nan,                0.51779,                    nan,                    nan,              0.0008021,              0.0008021,              0.0008021
                    124,                0.39753,                0.29234,                0.37594,                0.95488,                  0.802,                0.20968,                0.19397,                0.17912,                  0.802,                0.20968,                0.19397,                0.19189,                    nan,                0.53181,                    nan,                    nan,              0.0007922,              0.0007922,              0.0007922
                    125,                0.36625,                0.30231,                0.35968,                0.92789,                0.90417,                0.20968,                0.19523,                0.18163,                0.90417,                0.20968,                0.19523,                0.19075,                    nan,                0.54258,                    nan,                    nan,              0.0007823,              0.0007823,              0.0007823
                    126,                  0.367,                0.29996,                0.36675,                0.93191,                0.91851,                0.20968,                0.19752,                0.18566,                0.91851,                0.20968,                0.19752,                0.19331,                    nan,                0.55446,                    nan,                    nan,              0.0007724,              0.0007724,              0.0007724
                    127,                0.35292,                0.28702,                0.34237,                0.92631,                0.92238,                0.20968,                0.19913,                0.18996,                0.92238,                0.20968,                0.19913,                0.19489,                    nan,                0.45218,                    nan,                    nan,              0.0007625,              0.0007625,              0.0007625
                    128,                0.37571,                0.27493,                0.34444,                0.94712,                0.92292,                0.20968,                0.20404,                0.19767,                0.92292,                0.20968,                0.20404,                0.19767,                    nan,                 0.4585,                    nan,                    nan,              0.0007526,              0.0007526,              0.0007526
                    129,                0.35471,                0.29522,                0.35295,                0.92866,                0.92329,                0.20968,                0.21006,                0.20301,                0.92329,                0.20968,                0.21006,                0.20298,                    nan,                0.47273,                    nan,                    nan,              0.0007427,              0.0007427,              0.0007427
                    130,                0.35363,                0.29001,                0.34282,                0.91639,                0.92318,                0.20968,                0.20574,                0.19599,                0.92318,                0.20968,                0.20574,                0.19598,                    nan,                  0.506,                    nan,                    nan,              0.0007328,              0.0007328,              0.0007328
                    131,                0.36264,                0.35729,                0.37338,                0.93656,                0.92157,                0.20968,                0.20236,                0.19576,                0.92157,                0.20968,                0.20236,                0.19618,                    nan,                0.52721,                    nan,                    nan,              0.0007229,              0.0007229,              0.0007229
                    132,                0.35778,                 0.2766,                0.33648,                0.92657,                 0.9129,                0.20968,                0.20268,                0.19624,                 0.9129,                0.20968,                0.20268,                0.19836,                    nan,                0.50803,                    nan,                    nan,               0.000713,               0.000713,               0.000713
                    133,                0.37329,                0.28064,                0.34023,                0.94997,                0.91241,                0.20968,                0.20462,                0.19815,                0.91241,                0.20968,                0.20462,                0.20028,                    nan,                 0.4898,                    nan,                    nan,              0.0007031,              0.0007031,              0.0007031
                    134,                0.34733,                0.28629,                0.32189,                0.91799,                0.91229,                0.20968,                0.20999,                0.20283,                0.91229,                0.20968,                0.20999,                0.20582,                    nan,                0.49302,                    nan,                    nan,              0.0006932,              0.0006932,              0.0006932
                    135,                0.35807,                0.28739,                0.34162,                0.91323,                0.91091,                0.20968,                0.21211,                0.20606,                0.91091,                0.20968,                0.21211,                0.21211,                    nan,                0.45935,                    nan,                    nan,              0.0006833,              0.0006833,              0.0006833
                    136,                0.35722,                0.26383,                0.32836,                0.92477,                0.90618,                0.20968,                0.21398,                0.20779,                0.90618,                0.20968,                0.21398,                0.21398,                    nan,                0.44155,                    nan,                    nan,              0.0006734,              0.0006734,              0.0006734
                    137,                0.36627,                0.30598,                0.34863,                0.94241,                0.91506,                0.20968,                0.22389,                0.21091,                0.91506,                0.20968,                0.22389,                0.21956,                    nan,                0.48539,                    nan,                    nan,              0.0006635,              0.0006635,              0.0006635
                    138,                0.35625,                  0.305,                0.35614,                0.93111,                0.91542,                0.20968,                0.21876,                0.21279,                0.91542,                0.20968,                0.21876,                0.21644,                    nan,                0.45973,                    nan,                    nan,              0.0006536,              0.0006536,              0.0006536
                    139,                0.34839,                0.26693,                0.32677,                0.93935,                0.92071,                0.20968,                0.22305,                 0.2207,                0.92071,                0.20968,                0.22305,                0.22305,                    nan,                0.45232,                    nan,                    nan,              0.0006437,              0.0006437,              0.0006437
                    140,                0.34968,                0.28872,                0.33964,                0.91493,                0.91719,                0.20968,                0.22147,                0.22147,                0.91719,                0.20968,                0.22147,                0.21939,                    nan,                0.48942,                    nan,                    nan,              0.0006338,              0.0006338,              0.0006338
                    141,                0.33993,                  0.273,                 0.3326,                0.91886,                0.90629,                0.20968,                0.21463,                0.21225,                0.90629,                0.20968,                0.21463,                0.21303,                    nan,                0.51858,                    nan,                    nan,              0.0006239,              0.0006239,              0.0006239
                    142,                0.33485,                0.25351,                0.32532,                0.91945,                0.89637,                0.20968,                0.21262,                0.21108,                0.89637,                0.20968,                0.21262,                0.21108,                    nan,                  0.538,                    nan,                    nan,               0.000614,               0.000614,               0.000614
                    143,                0.37164,                0.33223,                0.35931,                0.94683,                0.90277,                0.20968,                0.20679,                 0.1981,                0.90277,                0.20968,                0.20679,                0.20491,                    nan,                0.53956,                    nan,                    nan,              0.0006041,              0.0006041,              0.0006041
                    144,                0.35799,                 0.2576,                0.30494,                0.94223,                0.90626,                0.20968,                0.20941,                0.20446,                0.90626,                0.20968,                0.20941,                0.20722,                    nan,                0.54245,                    nan,                    nan,              0.0005942,              0.0005942,              0.0005942
                    145,                0.35533,                0.28745,                0.31682,                0.92589,                0.91702,                0.20968,                0.22534,                0.21845,                0.91702,                0.20968,                0.22534,                0.22304,                    nan,                0.51133,                    nan,                    nan,              0.0005843,              0.0005843,              0.0005843
                    146,                0.36428,                0.26617,                0.32736,                0.94397,                0.92315,                0.20968,                0.23728,                0.23728,                0.92315,                0.20968,                0.23728,                0.23728,                    nan,                 0.5068,                    nan,                    nan,              0.0005744,              0.0005744,              0.0005744
                    147,                0.35526,                0.30583,                0.32645,                0.91789,                0.92434,                0.20968,                0.25114,                0.25114,                0.92434,                0.20968,                0.25114,                0.25114,                    nan,                0.51239,                    nan,                    nan,              0.0005645,              0.0005645,              0.0005645
                    148,                0.33365,                0.26073,                0.30846,                0.92284,                0.92402,                0.20968,                0.23401,                0.22675,                0.92402,                0.20968,                0.23401,                0.23401,                    nan,                0.53065,                    nan,                    nan,              0.0005546,              0.0005546,              0.0005546
                    149,                0.33334,                0.28182,                0.31031,                 0.9277,                0.92414,                0.20968,                 0.2279,                0.22058,                0.92414,                0.20968,                 0.2279,                 0.2279,                    nan,                0.54511,                    nan,                    nan,              0.0005447,              0.0005447,              0.0005447
                    150,                0.33608,                0.29656,                0.31917,                0.91967,                 0.9244,                0.20968,                 0.2242,                 0.2173,                 0.9244,                0.20968,                 0.2242,                 0.2242,                    nan,                0.54836,                    nan,                    nan,              0.0005348,              0.0005348,              0.0005348
                    151,                0.34846,                0.28661,                0.30821,                0.91133,                0.92379,                0.20968,                0.21923,                0.20787,                0.92379,                0.20968,                0.21923,                0.21923,                    nan,                0.52974,                    nan,                    nan,              0.0005249,              0.0005249,              0.0005249
                    152,                0.34427,                0.27552,                0.33288,                0.93018,                0.92395,                0.20968,                 0.2262,                0.21837,                0.92395,                0.20968,                 0.2262,                 0.2262,                    nan,                0.51457,                    nan,                    nan,               0.000515,               0.000515,               0.000515
                    153,                0.32055,                0.28193,                0.32537,                  0.891,                0.92461,                0.20968,                0.23849,                0.23486,                0.92461,                0.20968,                0.23849,                0.23849,                    nan,                0.58073,                    nan,                    nan,              0.0005051,              0.0005051,              0.0005051
                    154,                0.33661,                0.26067,                0.30548,                0.91977,                0.92467,                0.20968,                0.23595,                0.23106,                0.92467,                0.20968,                0.23595,                0.23595,                    nan,                0.63376,                    nan,                    nan,              0.0004952,              0.0004952,              0.0004952
                    155,                0.31255,                0.26978,                0.29722,                0.91099,                0.92463,                0.20968,                0.23762,                0.23323,                0.92463,                0.20968,                0.23762,                0.23762,                    nan,                0.60921,                    nan,                    nan,              0.0004853,              0.0004853,              0.0004853
                    156,                0.33624,                0.31201,                0.31344,                0.91797,                0.92475,                0.20968,                0.23172,                 0.2242,                0.92475,                0.20968,                0.23172,                0.23172,                    nan,                0.53523,                    nan,                    nan,              0.0004754,              0.0004754,              0.0004754
                    157,                 0.3036,                0.25431,                0.30897,                0.90813,                0.92451,                0.20968,                0.23301,                0.22546,                0.92451,                0.20968,                0.23301,                0.23301,                    nan,                0.47126,                    nan,                    nan,              0.0004655,              0.0004655,              0.0004655
                    158,                0.32755,                0.25689,                0.31603,                0.93311,                0.92417,                0.20968,                0.23161,                0.22632,                0.92417,                0.20968,                0.23161,                0.23161,                    nan,                0.44685,                    nan,                    nan,              0.0004556,              0.0004556,              0.0004556
                    159,                0.31923,                0.25852,                0.28918,                0.91932,                0.92291,                0.20968,                0.22524,                0.21875,                0.92291,                0.20968,                0.22524,                0.22524,                    nan,                0.45488,                    nan,                    nan,              0.0004457,              0.0004457,              0.0004457
                    160,                0.33235,                0.27992,                0.32887,                0.91798,                0.92368,                0.20968,                0.22326,                0.21985,                0.92368,                0.20968,                0.22326,                0.22326,                    nan,                0.47655,                    nan,                    nan,              0.0004358,              0.0004358,              0.0004358
                    161,                0.34649,                0.26288,                0.33546,                0.92514,                0.92461,                0.20968,                0.22645,                0.22645,                0.92461,                0.20968,                0.22645,                0.22645,                    nan,                 0.5138,                    nan,                    nan,              0.0004259,              0.0004259,              0.0004259
                    162,                0.31923,                0.25096,                0.30209,                0.90717,                0.92443,                0.20968,                0.23441,                0.23441,                0.92443,                0.20968,                0.23441,                0.23441,                    nan,                0.50345,                    nan,                    nan,               0.000416,               0.000416,               0.000416
                    163,                0.31135,                 0.2591,                0.29585,                0.90854,                0.92314,                0.20968,                0.23129,                0.23129,                0.92314,                0.20968,                0.23129,                0.23129,                    nan,                0.47228,                    nan,                    nan,              0.0004061,              0.0004061,              0.0004061
                    164,                0.35194,                0.26639,                0.32895,                0.93615,                0.91851,                0.20968,                0.23097,                0.23097,                0.91851,                0.20968,                0.23097,                0.23097,                    nan,                0.46584,                    nan,                    nan,              0.0003962,              0.0003962,              0.0003962
                    165,                0.31363,                0.25627,                  0.298,                0.90841,                0.91535,                0.20968,                0.22858,                0.22702,                0.91535,                0.20968,                0.22858,                0.22858,                    nan,                0.48804,                    nan,                    nan,              0.0003863,              0.0003863,              0.0003863
                    166,                0.31457,                0.26763,                0.30403,                0.89838,                0.91763,                0.20968,                0.22524,                0.22524,                0.91763,                0.20968,                0.22524,                0.22524,                    nan,                0.49839,                    nan,                    nan,              0.0003764,              0.0003764,              0.0003764
                    167,                 0.2971,                 0.2476,                0.29189,                0.91274,                0.92074,                0.20968,                0.22728,                0.22153,                0.92074,                0.20968,                0.22728,                0.22728,                    nan,                0.49894,                    nan,                    nan,              0.0003665,              0.0003665,              0.0003665
                    168,                0.33042,                0.25927,                0.29679,                0.94082,                 0.9231,                0.20968,                 0.2292,                0.22315,                 0.9231,                0.20968,                 0.2292,                 0.2292,                    nan,                0.52839,                    nan,                    nan,              0.0003566,              0.0003566,              0.0003566
                    169,                0.30667,                0.23646,                 0.2913,                0.90621,                0.92375,                0.20968,                0.23179,                0.22982,                0.92375,                0.20968,                0.23179,                0.23179,                    nan,                 0.5776,                    nan,                    nan,              0.0003467,              0.0003467,              0.0003467
                    170,                0.31123,                0.24249,                0.30469,                0.90587,                0.92337,                0.20968,                 0.2279,                 0.2279,                0.92337,                0.20968,                 0.2279,                 0.2279,                    nan,                0.60063,                    nan,                    nan,              0.0003368,              0.0003368,              0.0003368
                    171,                0.31602,                0.27938,                0.29284,                0.91875,                0.92269,                0.20968,                0.22222,                0.22008,                0.92269,                0.20968,                0.22222,                0.22222,                    nan,                 0.6049,                    nan,                    nan,              0.0003269,              0.0003269,              0.0003269
                    172,                0.31947,                0.27485,                0.29874,                0.92935,                0.92064,                0.20968,                0.22265,                0.22059,                0.92064,                0.20968,                0.22265,                0.22265,                    nan,                0.61577,                    nan,                    nan,               0.000317,               0.000317,               0.000317
                    173,                0.32503,                0.24712,                0.28429,                0.92302,                0.92108,                0.20968,                0.22322,                 0.2194,                0.92108,                0.20968,                0.22322,                0.22322,                    nan,                0.59099,                    nan,                    nan,              0.0003071,              0.0003071,              0.0003071
                    174,                0.32542,                0.24351,                0.31809,                0.91814,                0.92151,                0.20968,                 0.2231,                0.21898,                0.92151,                0.20968,                 0.2231,                 0.2231,                    nan,                0.57226,                    nan,                    nan,              0.0002972,              0.0002972,              0.0002972
                    175,                0.31545,                0.32164,                0.29935,                0.92289,                 0.9226,                0.20968,                0.23593,                0.23162,                 0.9226,                0.20968,                0.23593,                0.23377,                    nan,                0.57307,                    nan,                    nan,              0.0002873,              0.0002873,              0.0002873
                    176,                 0.3233,                0.27311,                 0.2848,                0.93597,                0.92376,                0.20968,                0.23826,                0.23315,                0.92376,                0.20968,                0.23826,                 0.2357,                    nan,                0.56839,                    nan,                    nan,              0.0002774,              0.0002774,              0.0002774
                    177,                0.32509,                0.30699,                0.28379,                0.91577,                0.92384,                0.20968,                0.23441,                0.22913,                0.92384,                0.20968,                0.23441,                0.23177,                    nan,                0.55782,                    nan,                    nan,              0.0002675,              0.0002675,              0.0002675
                    178,                  0.302,                0.27137,                0.28767,                0.89221,                0.92311,                0.20968,                0.23636,                0.23105,                0.92311,                0.20968,                0.23636,                 0.2337,                    nan,                0.57085,                    nan,                    nan,              0.0002576,              0.0002576,              0.0002576
                    179,                0.31439,                0.25863,                0.27652,                0.91519,                0.92264,                0.20968,                0.22944,                0.22683,                0.92264,                0.20968,                0.22944,                0.22944,                    nan,                 0.5856,                    nan,                    nan,              0.0002477,              0.0002477,              0.0002477
                    180,                 0.3062,                0.23462,                 0.2865,                0.91019,                0.92202,                0.20968,                0.21907,                0.21443,                0.92202,                0.20968,                0.21907,                0.21907,                    nan,                0.57659,                    nan,                    nan,              0.0002378,              0.0002378,              0.0002378
                    181,                0.28986,                0.22892,                0.27727,                0.91799,                0.92083,                0.20968,                0.21193,                0.21007,                0.92083,                0.20968,                0.21193,                0.21193,                    nan,                0.57336,                    nan,                    nan,              0.0002279,              0.0002279,              0.0002279
                    182,                0.29793,                0.23882,                0.26682,                0.89791,                0.91992,                0.20968,                0.20822,                0.20705,                0.91992,                0.20968,                0.20822,                0.20822,                    nan,                 0.5778,                    nan,                    nan,               0.000218,               0.000218,               0.000218
                    183,                0.31039,                0.24944,                0.28347,                 0.9081,                0.91802,                0.20968,                0.21142,                0.20777,                0.91802,                0.20968,                0.21142,                0.21142,                    nan,                0.59682,                    nan,                    nan,              0.0002081,              0.0002081,              0.0002081
                    184,                0.29377,                0.26069,                0.26457,                0.90223,                0.91624,                0.20968,                0.21336,                0.20791,                0.91624,                0.20968,                0.21336,                0.21336,                    nan,                0.60343,                    nan,                    nan,              0.0001982,              0.0001982,              0.0001982
                    185,                0.31119,                0.29061,                0.29794,                0.89527,                 0.9192,                0.20968,                0.21453,                0.20891,                 0.9192,                0.20968,                0.21453,                0.21266,                    nan,                 0.6011,                    nan,                    nan,              0.0001883,              0.0001883,              0.0001883
                    186,                0.30559,                0.25616,                0.27902,                 0.9111,                0.91875,                0.20968,                0.21729,                 0.2135,                0.91875,                0.20968,                0.21729,                0.21539,                    nan,                 0.5946,                    nan,                    nan,              0.0001784,              0.0001784,              0.0001784
                    187,                0.28713,                0.22921,                0.25491,                0.89597,                0.91797,                0.20968,                0.22111,                0.21682,                0.91797,                0.20968,                0.22111,                0.21897,                    nan,                0.60068,                    nan,                    nan,              0.0001685,              0.0001685,              0.0001685
                    188,                 0.2942,                0.22641,                0.26362,                0.90976,                 0.9155,                0.20968,                0.22305,                0.21724,                 0.9155,                0.20968,                0.22305,                0.22111,                    nan,                0.60172,                    nan,                    nan,              0.0001586,              0.0001586,              0.0001586
                    189,                0.30471,                0.27677,                0.28016,                0.91612,                0.91563,                0.20968,                0.22305,                0.21724,                0.91563,                0.20968,                0.22305,                0.22111,                    nan,                 0.5968,                    nan,                    nan,              0.0001487,              0.0001487,              0.0001487
                    190,                0.28666,                0.23089,                0.26422,                0.89315,                0.91622,                0.20968,                0.22284,                0.22114,                0.91622,                0.20968,                0.22284,                0.22284,                    nan,                0.59232,                    nan,                    nan,              0.0001388,              0.0001388,              0.0001388
                    191,                0.18586,                0.16024,                0.23538,                0.86224,                0.92288,                0.20968,                0.22111,                0.21774,                0.92288,                0.20968,                0.22111,                0.22111,                    nan,                0.59569,                    nan,                    nan,              0.0001289,              0.0001289,              0.0001289
                    192,                0.17989,                0.16438,                0.22796,                0.85934,                0.92311,                0.20968,                0.21661,                0.21495,                0.92311,                0.20968,                0.21661,                0.21495,                    nan,                0.60781,                    nan,                    nan,               0.000119,               0.000119,               0.000119
                    193,                0.17036,                0.14406,                0.19811,                0.84975,                0.91609,                0.20968,                 0.2183,                0.21497,                0.91609,                0.20968,                 0.2183,                0.21664,                    nan,                0.58799,                    nan,                    nan,              0.0001091,              0.0001091,              0.0001091
                    194,                0.16928,                0.13659,                0.21052,                0.84007,                0.90897,                0.20968,                0.22346,                0.22006,                0.90897,                0.20968,                0.22346,                0.22006,                    nan,                  0.573,                    nan,                    nan,               9.92e-05,               9.92e-05,               9.92e-05
                    195,                0.16234,                0.14223,                0.20464,                0.83029,                0.92356,                0.20968,                0.23034,                0.22508,                0.92356,                0.20968,                0.23034,                0.22683,                    nan,                0.57744,                    nan,                    nan,               8.93e-05,               8.93e-05,               8.93e-05
                    196,                0.17631,                0.16243,                0.21044,                0.85344,                0.92363,                0.20968,                0.24132,                0.23582,                0.92363,                0.20968,                0.24132,                0.23765,                    nan,                 0.5909,                    nan,                    nan,               7.94e-05,               7.94e-05,               7.94e-05
                    197,                0.16033,                0.14014,                0.19391,                0.83718,                0.92352,                0.20968,                0.24748,                0.24184,                0.92352,                0.20968,                0.24748,                0.24372,                    nan,                0.58558,                    nan,                    nan,               6.95e-05,               6.95e-05,               6.95e-05
                    198,                0.16444,                0.13591,                0.21043,                0.84295,                0.92371,                0.20968,                0.25375,                 0.2499,                0.92371,                0.20968,                0.25375,                 0.2499,                    nan,                0.57746,                    nan,                    nan,               5.96e-05,               5.96e-05,               5.96e-05
                    199,                0.15913,                0.14186,                0.18138,                0.82841,                0.92361,                0.20968,                0.25533,                0.25146,                0.92361,                0.20968,                0.25533,                0.25146,                    nan,                0.57482,                    nan,                    nan,               4.97e-05,               4.97e-05,               4.97e-05
                    200,                0.15322,                0.14657,                0.18471,                0.83204,                0.92355,                0.20968,                0.25615,                0.25227,                0.92355,                0.20968,                0.25615,                0.25227,                    nan,                0.57479,                    nan,                    nan,               3.98e-05,               3.98e-05,               3.98e-05
